id,entity,type,louv_community_weighted
19694,Satyaprakash,PERSON,3644
19695,N Naga Satyam,PERSON,6266
19696,Raju Adagale,PERSON,15549
19697,Chandu Khamani,PERSON,12381
19698,Ardhendu Shekhar,PERSON,15549
19699,Devaram,GPE,8841
19700,Gajanan Gawande,PERSON,15549
19701,the Railway Board,ORG,4688
19702,Dangal,PERSON,13467
19703,the Primary Agriculture Co-operative Society,ORG,215
19704,The Madhya Pradesh Congress,ORG,13467
19705,Saharanpur,GPE,3644
19706,Kanwas,GPE,6619
19707,Palayankudi,GPE,215
19708,Rajendra Sahane,PERSON,15549
19709,Nature Agrotech,ORG,15549
19710,Davidson,PERSON,6266
19711,SIMS,ORG,12381
19712,Sudhir Sharma,IAS,8841
19713,Vishakhapatnam,GPE,12381
19714,C J Chavda,PERSON,12381
19715,Jethuke,GPE,4688
19716,Gajanan Hanmad,PERSON,15549
19717,Gabu,PERSON,12381
19718,Prabhjot Singh,DIR,4688
19719,Katraj,GPE,15549
19720,Rajoli,GPE,6619
19721,Pankaj Verma,DIR,3644
19722,Sahab Singh Sekhon,PERSON,4688
19723,Desiya Thanninthiya Nathigal Inaippu Vivasayigal Sangam,ORG,215
19724,Bikshapathi C,PERSON,3644
19725,pradhan Deviram,PERSON,3644
19726,Ganesh Kumar,POL,10780
19727,Khola,GPE,3160
19728,Kheyada,GPE,10780
19729,Ela,GPE,3160
19730,Hadapsar,GPE,15549
19731,Nandur ghat,GPE,15549
19732,the Greater Chennai Corporation,ORG,215
19733,Baljinder Singh Golu,PERSON,6266
19734,Kapurthala Chowk,GPE,4688
19735,Neriamangalam,GPE,3644
19736,Shelke,PERSON,1561
19737,Kottur,GPE,215
19738,Tamilagam,GPE,215
19739,Greater Chennai Police,GPE,215
19740,Nirmala Sitharaman,PERSON,10780
19741,Chinna Goundenpudur,GPE,215
19742,Kapil Mohan,DIR,2763
19743,K S Subramanian,DIR,215
19744,Haryana Democratic Front,ORG,4688
19745,RM Nerlikar,PERSON,15549
19746,a Group of Secretaries,ORG,6619
19747,Umesh Kumar,POL,3644
19748,Ranebennur,GPE,1527
19749,Ravi Chauhan,PERSON,8841
19750,Mullanpur,GPE,4688
19751,Kerala State Civil Supplies Corporation,ORG,11194
19752,Magan Rak,PERSON,12381
19753,Lavanya Lakshmi,PERSON,1527
19754,Naxal,PERSON,3644
19755,Seramau North,GPE,3644
19756,Ankit Pawar,DIR,3644
19757,Khargunda village,GPE,12381
19758,the Union ministry of agriculture,ORG,6619
19759,Ravikumar,DIR,1527
19760,Senate,ORG,4688
19761,Sundaramahalingam,GPE,215
19762,Vadakkalur,GPE,215
19763,Rumela Gangopadhyay,PERSON,6266
19764,Jawaharlal Nehru,POL,15549
19765,National Agricultural Cooperative Marketing Federation of India Ltd,ORG,13467
19766,Neelam,POL,15549
19767,Manoj Kumar Singh,POL,10780
19768,Anti-Terrorist Front of India’s,ORG,4688
19769,Khanapur,GPE,3160
19770,Vipin Sharma,DIR,1561
19771,Ranwad,GPE,15549
19772,Pradeep,PERSON,937
19773,Swapnesh Amonkar,PERSON,3160
19774,the Government High School,ORG,2763
19775,Puzhuthikuttai village,GPE,15549
19776,Kishore Jedhe-Deshmukh,PERSON,15549
19777,ICAR-,ORG,3160
19778,S Moorthy,PERSON,215
19779,Rajveer Singh Jadon,PERSON,4688
19780,Deoli,GPE,6619
19781,Kannankurichi,GPE,2118
19782,Manoj Sonkar,PERSON,3644
19783,Siva V Meyyanathan,PERSON,215
19784,Kambalakkad,GPE,11194
19785,ch,PERSON,12381
19786,Naygaon,GPE,15549
19787,SVNIT,ORG,3413
19788,Pomburpa,GPE,3160
19789,Lingsugur,GPE,2763
19790,Uddhav j,PERSON,15549
19791,Pratap Singh Bajwa,POL,4688
19792,Ramkrishna Takalkar,PERSON,15549
19793,YS Jaganmohan Reddy,PERSON,6619
19794,Govind Gaude,PERSON,3160
19795,Vishweshwar,PERSON,18149
19796,Thakur Rakesh Singh,PERSON,3644
19797,CBA,ORG,215
19798,Pategaon,GPE,15549
19799,Pankaj Singh,PERSON,8841
19800,KISLAY Social Research Collective,ORG,3644
19801,Kumaramangalam village,GPE,215
19802,Pawan Goenka,PERSON,18149
19803,SVFPC,ORG,6619
19804,Hardikar,PERSON,15549
19805,the JMC-Greater,ORG,8841
19806,WCL,ORG,15549
19807,Ajay Kala,PERSON,8841
19808,Vaz,PERSON,3160
19809,the Goa Horticulture Corporation,ORG,3160
19810,Abhyatmangala,GPE,2763
19811,Kaushik,PERSON,4688
19812,Adloor Yellareddy,GPE,18149
19813,Abhrampar,GPE,12381
19814,Montek Singh Ahluwalia,PERSON,4688
19815,Eachampallam,GPE,215
19816,Dhananja,GPE,3644
19817,Valara,GPE,3644
19818,Dalaj village,GPE,15549
19819,Primus D’Souza,PERSON,3003
19820,Navada,GPE,13467
19821,Charan Waghmare,PERSON,15549
19822,Koride Mahesh Assembly,ORG,18149
19823,Yogi Chandrashekhar More,PERSON,15549
19824,Kannauj,GPE,3644
19825,K Krishnamurthy,PERSON,215
19826,Ramesh Pawale,PERSON,3160
19827,Michael Lobo,PERSON,3160
19828,Barwani,GPE,13467
19829,Siddalingappa Roodagi,PERSON,2763
19830,utte chitte,PERSON,7031
19831,Dharmendra Gupta,PERSON,3644
19832,Loharki,GPE,8841
19833,Melukote,GPE,7574
19834,Geeta Nagar,GPE,3644
19835,Gangetic West Bengal,GPE,10780
19836,Koluthuvallil,PERSON,252
19837,Rajan P,POL,3644
19838,BATHINDA/,GPE,4688
19839,Bal Malkit Singh,PERSON,15549
19840,Sukhwinder Singh,POL,4688
19841,S Ramachandran,PERSON,215
19842,Pathan,PERSON,2763
19843,Sildar,PERSON,12381
19844,I-Khet Punjab,ORG,937
19845,Ajay Kumar Teni,PERSON,4688
19846,Rohini Shahid Sthal,GPE,10780
19847,Bhupat Jethwa,PERSON,12381
19848,Juvvadi Madan Mohan Rao,PERSON,18149
19849,Galla village,GPE,3644
19850,World Vision India,ORG,15549
19851,Gamara,PERSON,12381
19852,Azeem Nagar,GPE,3644
19853,Bangi Nihal Singh,GPE,4688
19854,Vellanayagampatti village,GPE,215
19855,PRTC,ORG,4688
19856,Pagdi Sambhal Jatta,ORG,3644
19857,Derby,GPE,6266
19858,Kherva,GPE,12381
19859,Dinesh Shiddhapara,PERSON,12381
19860,Water Technology Centre,ORG,215
19861,the All-India Kisan Mahasabha,ORG,10780
19862,Sunna Vaddi Panta Runalu,ORG,6619
19863,Jagdanand Singh,POL,10780
19864,Digambar Chavan,PERSON,15549
19865,Chetan Chauhan,POL,3644
19866,Mulshi,GPE,15549
19867,Gangwa,PERSON,4688
19868,P Akilesh,PERSON,215
19869,P-PAS,ORG,8841
19870,R Harital,PERSON,15549
19871,K S Sabarinathan,PERSON,1341
19872,Aseel,ORG,3160
19873,RLIP,ORG,18149
19874,Mohan Lamb,PERSON,1561
19875,Kalyani Publishers,ORG,83
19876,Shiv Pratap Singh,POL,8841
19877,SOMA,ORG,12381
19878,Syedna Mufaddal Saifuddin,PERSON,15549
19879,the agriculture price commission,ORG,15549
19880,Nachattar Singh,PERSON,3644
19881,Bangiya Pradeshik Krishak Sabha,ORG,1561
19882,Vinod Singh,PERSON,10780
19883,Avdhoot Mudhol,PERSON,15549
19884,Sultan Ali,PERSON,3644
19885,Atmakur Bharata Lakshmi,PERSON,18149
19886,Gangana,GPE,4688
19887,CET,ORG,18149
19888,Chorao,GPE,3160
19889,T Jagga Reddy,PERSON,18149
19890,Lalit Kishore,PERSON,8841
19891,Rajnath,POL,4688
19892,Koyla Gyanpur,GPE,8841
19893,Shashikant Shinde,PERSON,15549
19894,FCRI,ORG,215
19895,Amol Waghmare,PERSON,15549
19896,Vinod Solanki,PERSON,12381
19897,the Anti-Methane Project Movement,ORG,215
19898,Sahanpur,GPE,3644
19899,the Haryana State Pollution Control Board,ORG,4688
19900,R Kulandaivel,PERSON,215
19901,Valasiramani,GPE,215
19902,Gosainganj,GPE,3644
19903,Suresh Chandra,POL,10780
19904,The Shethkari Sanghatana,ORG,18149
19905,A Paramasivam,PERSON,215
19906,Rahul Ahuja,DIR,4688
19907,the Tamil Nadu Poultry Farmers Association,ORG,2763
19908,The Netherlands,ORG,12381
19909,Rajgopal,DIR,6266
19910,Bhupender Jaglan,PERSON,4688
19911,Harshwardhan Deshmukh,PERSON,15549
19912,Sindhauli,GPE,8841
19913,Ratnagiri,GPE,15549
19914,Chaakali Devaraju,PERSON,18149
19915,the Akhil Bharatiya Kisan Sabha,ORG,15549
19916,DMIC,ORG,3644
19917,Shamser Singh,POL,4688
19918,Nashik Rural,GPE,15549
19919,Siddhant Chaturvedi,PERSON,6266
19920,Chikhali,GPE,15549
19921,BKU Krantikari,ORG,4688
19922,Umayalpuram,GPE,215
19923,Navjot Singh Sidhu’s,POL,4688
19924,AAKBY,ORG,3644
19925,ADM (City,ORG,3644
19926,Raisina,GPE,6619
19927,Rabari,PERSON,12381
19928,Alpana Joshi,PERSON,3644
19929,Dharmendra Pradhan,POL,3644
19930,Lakhimpur Khiri,GPE,8841
19931,Amareshwara Farmer Producer Company Limited,ORG,2763
19932,Devesh Chaturvedi,PERSON,3644
19933,Kumar Mutha,PERSON,18149
19934,Krishi Vishvavidyalaya,ORG,6266
19935,Barnana,GPE,8841
19936,KARNAL/,GPE,4688
19937,Harmeet,PERSON,3160
19938,Pranpur,GPE,215
19939,Behbal Kalan,PERSON,4688
19940,International Monetary Fund,ORG,4688
19941,the Union earth ministry’s,ORG,4688
19942,a Kisan Bhawan,ORG,3644
19943,Ratnesh Mishra,PERSON,3644
19944,Kharua village,GPE,6266
19945,Sen,PERSON,3644
19946,Pramod Yeole,PERSON,15549
19947,Jawaharnagar,GPE,8841
19948,Chopda,GPE,15549
19949,Pushk,GPE,3644
19950,Alambagh,GPE,3644
19951,HS Doreswamy,PERSON,2763
19952,Karkauli village,GPE,3644
19953,Rameshbabu,PERSON,2819
19954,Ambala Cantt,GPE,4688
19955,Chandrakant Bhatt,PERSON,12381
19956,Ponnam Prabhakar,POL,18149
19957,Akshayraj Makwana,PERSON,12381
19958,Bardoli Satyagrah,PERSON,4688
19959,Baluheda,GPE,6619
19960,Rajesh Pratap Singh,DIR,3644
19961,the Uttarakhand Congress,ORG,3644
19962,Bhimrao Ambedkar,PERSON,4688
19963,Atal Tinkering Lab,ORG,15549
19964,the Inland Waterways Authority of India,ORG,3644
19965,K Raghupathi Bhat,PERSON,3003
19966,Ponneri,GPE,215
19967,Nanakmatta Kamlesh Bhatt,PERSON,3644
19968,Aatkur village,GPE,18149
19969,Mayar,GPE,19072
19970,Medshi-Akola,GPE,15549
19971,Bhatu,PERSON,12381
19972,Tankara,GPE,12381
19973,Youth4Farmers,ORG,13467
19974,Janala village,GPE,15549
19975,Junnar tehsil,GPE,15549
19976,Khoda Vaghashiya,PERSON,12381
19977,Anirban Das,PERSON,1561
19978,The Rajasthan BJP,ORG,8841
19979,Virur,GPE,15549
19980,Gawande,PERSON,4229
19981,Morhabadi,GPE,10780
19982,the department of cooperation,ORG,4688
19983,the Cauvery Water Management Authority,ORG,215
19984,K Karthikeyan,POL,215
19985,Sikh,ORG,4688
19986,Kolhan,GPE,10780
19987,Ram Pal Jat,PERSON,8841
19988,Sampatrao Pawar,PERSON,15549
19989,Bali Sing,PERSON,3644
19990,Dua,PERSON,4688
19991,CRZ,GPE,12381
19992,Udit Raj,POL,4688
19993,Sheikh Amin,PERSON,18149
19994,R Ashoka,PERSON,2763
19995,Sushil Kumar Modi,POL,10780
19996,Pundalik Raikar,PERSON,3160
19997,Nellore Rural,ORG,6619
19998,Durgesh Pathak,PERSON,4688
19999,Thirumayila,GPE,215
20000,KK Ragesh,PERSON,15549
20001,Ghorpade,PERSON,15549
20002,India Women,ORG,1561
20003,East Nagpur,GPE,15549
20004,Kashmira,PERSON,4688
20005,Mala,GPE,3644
20006,Perne village,GPE,15549
20007,Maiganganj,GPE,3644
20008,the Kisan Kalyan Mission,ORG,3644
20009,Gauri Shankar Kushwaha,PERSON,3644
20010,Lakhhowal,GPE,937
20011,Pritam Singh,PERSON,3644
20012,PS Pradyumna,PERSON,1527
20013,Gundala,GPE,6619
20014,Bhartiya Kishan Mazdoor Sangh,ORG,13467
20015,Veppankulam,GPE,215
20016,Jaisinghpur Khera,GPE,4688
20017,Bhawalpur,GPE,8841
20018,Begumphulli,GPE,1561
20019,Tanda village,GPE,3644
20020,Gowtham Amaraneni,PERSON,18149
20021,Osmanpura,GPE,1793
20022,Malabar Milma,ORG,11194
20023,Alon Molay,PERSON,12381
20024,Balaji Nagar,GPE,8841
20025,Arjun,PERSON,6619
20026,Hasanur,GPE,215
20027,Joji Pe,PERSON,19072
20028,K Bhaskar,PERSON,3003
20029,Shivaji Maharaj,PERSON,3644
20030,Daund tehsil,GPE,15549
20031,Pasumpon,PERSON,215
20032,K Venkatachalam,PERSON,3644
20033,Gher Rambagh,GPE,4688
20034,Aabadgarh village,GPE,937
20035,Vishal Malam,PERSON,12381
20036,Rajpurohit,PERSON,8841
20037,Maheshinder Singh Grewal,PERSON,4688
20038,Mangardah,GPE,1561
20039,Ghayaj village,GPE,12381
20040,Gutti Basavanna,GPE,2763
20041,Pedda Madharam,GPE,18149
20042,The Allahabad HC,ORG,1527
20043,Hussaniwala,GPE,4688
20044,K K Shailaja,PERSON,215
20045,Kuma,PERSON,4688
20046,Bhatoli,GPE,3644
20047,Dhawal,PERSON,15549
20048,Suryapet Town,GPE,18149
20049,Gajanan Pawar,PERSON,15549
20050,Ajmeera Kumaraswamy,PERSON,18149
20051,Manjalaru,GPE,215
20052,Wanadongri,GPE,15549
20053,Majha Kisan Committee,ORG,6266
20054,Roni,PERSON,1341
20055,Karur,GPE,215
20056,Vasu Chandra,PERSON,18149
20057,Abid Hussain,DIR,8841
20058,Thiagarajan,DIR,215
20059,Buddha Nullah,GPE,4688
20060,Mukesh Chandra Mishra,PERSON,3644
20061,Vizianagaram,GPE,6619
20062,S Manikandan,PERSON,215
20063,Pat,PERSON,6266
20064,the Institute of Chartered Accountants of India,ORG,10780
20065,Poachampally,GPE,3644
20066,Handiaya,GPE,3644
20067,Ahmednagar,GPE,15549
20068,Munni Devi,POL,3644
20069,Byadagi,GPE,6619
20070,Karnati,PERSON,6266
20071,Naresh Tikait’s,PERSON,4688
20072,Fatahabad,GPE,4688
20073,Pandu,POL,18149
20074,TRCMPU,ORG,215
20075,Panambur,GPE,3003
20076,Bigwara village,GPE,4688
20077,Errabelli Dayakar Rao,PERSON,18149
20078,Makkena Venkata Subba Rao,PERSON,18149
20079,Kandaghat,GPE,6266
20080,Ransinh,PERSON,4688
20081,Ajay Linda,PERSON,10780
20082,Verem zilla,GPE,3160
20083,Una Civil Hospital,ORG,12381
20084,Kalpana Soren,PERSON,10780
20085,Chandresh Sojitra,PERSON,15549
20086,Bharatiya Kisan Union Ekta Dakonda,ORG,4688
20087,Sabarkantha,GPE,12381
20088,Nitin Gad,PERSON,15549
20089,Madalapura,GPE,18149
20090,Vasundhara,POL,4688
20091,Surrey,GPE,6266
20092,Soham Ghate,PERSON,3160
20093,VG Venkata Reddy,PERSON,6619
20094,Manojkumar Sharma,PERSON,4688
20095,Oman,GPE,15549
20096,Satya Prakash Tripathi,PERSON,3644
20097,Nageswara Rao,PERSON,6619
20098,Allahaganj,GPE,8841
20099,Bhupinder Singh Hooda,POL,4688
20100,Sunita Vijay Bhavar,PERSON,15549
20101,Aikhya (United) Forum,ORG,2763
20102,Tik Tok,ORG,6672
20103,Haldua,GPE,3644
20104,MoRTH,ORG,15549
20105,Narhari Zhirwal,PERSON,15549
20106,All Kerala Government Contractors’ Association,ORG,215
20107,Gurucharan Singh,POL,8841
20108,LPS,ORG,6619
20109,Sitarganj,GPE,3644
20110,SB Bhalavi,PERSON,15549
20111,Irfhan Shaikh,PERSON,3160
20112,Lata Gaonkar,PERSON,3160
20113,Shree Ganesh Sai Services,ORG,15549
20114,Saligram,PERSON,3644
20115,Ashleen Kaur Gill,PERSON,6266
20116,State Electricity Regulatory Commission,ORG,4688
20117,ATL,ORG,15549
20118,Baba Balbir Singh,PERSON,4688
20119,R Bhaskar,PERSON,18149
20120,N Kumar,PERSON,215
20121,Tom P Silus,PERSON,215
20122,Lateef,PERSON,3644
20123,Gurmukhi,GPE,8841
20124,Feza,PERSON,10780
20125,Koduvalpara,GPE,11194
20126,N K Bishnoi,PERSON,11640
20127,Waghpur,GPE,12381
20128,Sangeeta,DIR,13467
20129,Ontario,GPE,6266
20130,Venkata Ramana,DIR,18149
20131,Nimod,GPE,8841
20132,Noor Unissa Nursing College,ORG,2763
20133,Dushyant Chautala,POL,4688
20134,Pritpal,PERSON,4688
20135,Basnhilal Kumhar,PERSON,8841
20136,K P Singh,POL,3644
20137,Radadiya,PERSON,12381
20138,Simadi village,GPE,3644
20139,Shiv Narayan Singh Chauhan,PERSON,3644
20140,Rajya Raitha Sangah,ORG,2763
20141,Krishnakumar,DIR,215
20142,Mahan Seva Sansthan,ORG,6266
20143,Akhil Bhartiya Khet va Gramin Mazdoor Sabha,ORG,10780
20144,Ekta Dakaounda,GPE,4688
20145,Vriksha Ayurvedam,ORG,4259
20146,Khidkiya,GPE,13467
20147,Panch Sunny Nanodkar,PERSON,3160
20148,ex-Army,ORG,12381
20149,Palanivel,PERSON,215
20150,Saphera village,GPE,4688
20151,Dhaba,GPE,4229
20152,Narayanasamy Naidu,PERSON,215
20153,Lalbaug,GPE,15549
20154,Dakaunda,ORG,4688
20155,Vicky,PERSON,13467
20156,Ramsisar Chhajlaniya,GPE,3644
20157,S Vimalanathan,PERSON,215
20158,Kudaje village,GPE,15549
20159,Bandhiya,GPE,12381
20160,Aggarwal,PERSON,3644
20161,Sameer Khan,POL,15549
20162,Mohd Tahir,PERSON,3644
20163,Vanathi Srinivasan,DIR,4688
20164,Mangalore Chemicals,ORG,15549
20165,Sahni,PERSON,3644
20166,SRV Ramanan,PERSON,6266
20167,Arattuthara,GPE,11194
20168,Basava,PERSON,2763
20169,KR Puram,GPE,2763
20170,Ashish Paturkar,PERSON,15549
20171,Joginder Singh,POL,4688
20172,Records of Rights,ORG,18149
20173,"the Jaipur Municipal Corporation , Greater",ORG,8841
20174,Chengannur,GPE,11194
20175,Dilip Rajan,PERSON,6266
20176,Majalgaon,GPE,15549
20177,Rajbir Mor,PERSON,937
20178,Bodhra,PERSON,12381
20179,Jagat Singh,POL,3644
20180,Kurdi,GPE,3160
20181,HD Kote,GPE,2763
20182,Sushma Arora,DIR,4688
20183,Kadthal village,GPE,18149
20184,Bhim,GPE,8841
20185,Khambhat taluka,GPE,12381
20186,Sagma Meghwanshi,GPE,8841
20187,Bijnor/Pilibhit,GPE,3644
20188,DCB,ORG,3644
20189,Prime Minister Crop Insurance,ORG,15549
20190,the Community College Initiative,ORG,3644
20191,Dubbak,GPE,18149
20192,Verka,GPE,937
20193,Ammalur,GPE,215
20194,Subhash Rai,PERSON,3644
20195,Galvanizing Organic Bio-Agro Resources Dhan,ORG,15549
20196,LAKHIMPUR KHERI:,GPE,3644
20197,Mutike Kumaraswamy,PERSON,18149
20198,Samanpura,GPE,10780
20199,R Rangasamy,PERSON,215
20200,Naushad Momin,PERSON,2763
20201,Malegaon East,GPE,15549
20202,Krishna River Water Management Board’s,ORG,6619
20203,Dudh Utpadak Shetkari Sangharsh Samiti,ORG,15549
20204,Janmanch,ORG,15549
20205,Sahamati,ORG,215
20206,Dhanna,PERSON,4688
20207,Pandian,DIR,215
20208,Forward Bloc,ORG,215
20209,Khavda village,GPE,3644
20210,Boriyavi,GPE,12381
20211,J Beniks,PERSON,215
20212,MSCERT,ORG,15549
20213,Jawahar Navodaya Vidyalaya,ORG,3160
20214,Keonjhar,GPE,3644
20215,Sonba Bandurkar’s,PERSON,15549
20216,Neerukulla,GPE,18149
20217,Sandeep Ghorpade,PERSON,15549
20218,Kodapadavu village,GPE,3003
20219,Rethinam Setti,PERSON,215
20220,the National Dairy Research Institute,ORG,937
20221,Hullahalli,GPE,2763
20222,Ner,GPE,15549
20223,Jet Singh,PERSON,937
20224,M P Chinnathurai,PERSON,215
20225,Rayalaseema Medhavula Forum,ORG,6619
20226,Dariyapur village,GPE,3644
20227,D Raja,POL,15549
20228,Villupuram,GPE,215
20229,Khaira,PERSON,4688
20230,Ram Bharose,POL,3644
20231,Vijay Bahadur,PERSON,3644
20232,the Mohali MC,ORG,3938
20233,Vinod,POL,12381
20234,Thiruvarur,GPE,215
20235,Devendra Pratap Mishra,PERSON,3644
20236,Mandleshwar,GPE,13467
20237,Kanaksinh Jadeja,PERSON,12381
20238,New Zealand,GPE,6266
20239,Ghanwat,PERSON,1527
20240,Pilibanga,GPE,8841
20241,Rakeshji,PERSON,3644
20242,the United Kisan Morcha,ORG,3644
20243,AIADMK,ORG,215
20244,Centre for Financial Accountability,ORG,12381
20245,Anoopgarh,GPE,8841
20246,Sushil Kumar Patel,PERSON,3644
20247,Ajitgarh village,GPE,12381
20248,Shahu Maharaj,PERSON,15549
20249,farme,PERSON,215
20250,Odayakulam,GPE,215
20251,Pampagouda Basavanagouda,PERSON,2763
20252,Pokale,PERSON,15549
20253,Om Prakash Reddy,PERSON,18149
20254,Srimushnam,GPE,215
20255,IIF,ORG,6266
20256,PM,ORG,4688
20257,Jamka Gir,GPE,12381
20258,Mandeep Kumar,POL,10780
20259,Citizen’s Foundation,ORG,10780
20260,Firangi Nala,GPE,18149
20261,House,ORG,6266
20262,Manish BDC,PERSON,3644
20263,Patnekar,PERSON,3160
20264,Raghunath Reddy,PERSON,2763
20265,CIAF,ORG,215
20266,C Vimala,PERSON,215
20267,Vijay Nagar,DIR,3644
20268,Khark Poonia,GPE,3644
20269,Lok Chetna Lehar,ORG,4688
20270,Eish Singhal,PERSON,4688
20271,Sambhal,GPE,3644
20272,Kandur village,GPE,18149
20273,Belapur,GPE,10780
20274,Nambur village,GPE,6619
20275,Shiva Kumar,DIR,3644
20276,Sivakami,PERSON,215
20277,Jambhe,GPE,15549
20278,Bharatiya Kisan Union Ekta Sidhupur,ORG,4688
20279,West Bengal Assembly,ORG,1561
20280,DN Kambrekar,PERSON,2763
20281,Accher,GPE,937
20282,Pankaj Sehgal,DIR,937
20283,Aklia,GPE,19072
20284,Pete Davidson,PERSON,6266
20285,Jeyanthi Muthuraman,PERSON,215
20286,Daljinder,PERSON,4688
20287,Florence,GPE,6266
20288,Rangareddy district,GPE,18149
20289,R Periasamy,PERSON,215
20290,Rakesh Tikait’s,POL,4688
20291,Rajasthan State Cooperative Bank,ORG,8841
20292,K Raju,PERSON,1341
20293,Cheranmahadevi,GPE,215
20294,All Farmers Association's,ORG,215
20295,Chandu Patel,PERSON,12381
20296,Bheem Odedara,PERSON,12381
20297,Alok Sinha,IAS,3644
20298,Bhagorh,GPE,4688
20299,the Jodhpur Central Cooperative Bank,ORG,8841
20300,Ghanshyam Vishwakarma,PERSON,13467
20301,Zuarinagar,GPE,3160
20302,Ghandiyala,GPE,3644
20303,Narsinhawadi,GPE,15549
20304,Sudha,POL,215
20305,IIW,ORG,6266
20306,Sastr,ORG,215
20307,Sullia,GPE,3003
20308,INLD,ORG,4688
20309,Shyam,PERSON,2763
20310,Kajla Khap,ORG,19072
20311,Sujata Chowk,GPE,10780
20312,Madan Sahni,PERSON,10780
20313,Bharath Gupta,DIR,6619
20314,Sanjay Agarwal,DIR,4688
20315,Gidderbaha,GPE,4688
20316,Cauvery Rights Retrieval (CRR) Committee,ORG,4229
20317,Kamlesh Bhatt,PERSON,3644
20318,Hav,GPE,10780
20319,the Rapid Action Force,ORG,4688
20320,Uttar Pradesh Power Corporation Limited,ORG,15549
20321,Uklana,GPE,4688
20322,Anuskura village,GPE,15549
20323,T Gurusamy,PERSON,215
20324,CHAND IGARH:,GPE,4688
20325,Hanjadapar village,GPE,12381
20326,INDORE,GPE,13467
20327,Awadh Prant,GPE,3644
20328,the National Investigation Agency’s,ORG,4688
20329,Anand Agricultural University,ORG,12381
20330,Cheyur,GPE,215
20331,Ninasam,ORG,11194
20332,Bathjinda,GPE,3644
20333,GEAC,ORG,6266
20334,Sihore,GPE,12381
20335,K Kaliyamurthi,PERSON,215
20336,Pulaputturu,GPE,6619
20337,IIM-A.,ORG,12381
20338,The Banaras Hindu University,ORG,13467
20339,another Kisan Sabha,ORG,8841
20340,Hodenuru,GPE,2763
20341,Vidholi,GPE,3644
20342,Malnad,GPE,2763
20343,Dhanua,GPE,8841
20344,Apco Shri Amarnathji Tunnelway,ORG,18149
20345,Khadapabandh,GPE,3160
20346,Jahid Nadaf,PERSON,2763
20347,Athani,GPE,2763
20348,Afzal Lulania,PERSON,12381
20349,Mohammed Abdul Muqeeth,PERSON,18149
20350,the All-India Kisan Sangharsh Samanvya Samiti,ORG,10780
20351,Harsh Kumar,POL,4688
20352,Kuldeep Singh Dhaliwal,PERSON,8841
20353,Tehri Garhwal,GPE,3644
20354,Charkhi Dadri,GPE,4688
20355,DBSKKV,ORG,15549
20356,Sunday Times,ORG,6266
20357,Vasant Purke,PERSON,15549
20358,Swetha Rao,PERSON,18149
20359,Dediapada,GPE,12381
20360,Mangarai,GPE,18149
20361,R P Jadeja,PERSON,12381
20362,Kasim,PERSON,18149
20363,Kallandhiri,GPE,215
20364,Wakure,PERSON,15549
20365,Ramangamdi village,GPE,12381
20366,Khanouri-Dabwali,GPE,4688
20367,Manav Garima Trust,ORG,3644
20368,Raitha Samparka Kendras,ORG,2763
20369,Shanmuga Sundaram,DIR,215
20370,Mydukuru village,GPE,6619
20371,Narasimhulu,PERSON,18149
20372,Rajanna-Sircilla,GPE,18149
20373,Chatrapati Shivaji Maharaj,PERSON,15549
20374,Chowdariguda,GPE,18149
20375,Marudhan,PERSON,215
20376,Innambur,GPE,215
20377,CSE,ORG,215
20378,Capital Development Authority,ORG,8841
20379,Piprakothi,GPE,10780
20380,Ashok Bhutada,PERSON,4688
20381,MVR Raju,PERSON,6619
20382,the Bandekar College of Pharmacy,ORG,3160
20383,Jayaprasad,PERSON,215
20384,Ravindra Bhosle,PERSON,15549
20385,Sahaswan,GPE,3644
20386,Ghosh,PERSON,1561
20387,Haryana State Pollution Control Board,ORG,6619
20388,Vaishali Samir Tavare,PERSON,15549
20389,the Sola Government Medical College,ORG,12381
20390,Khandola,GPE,3160
20391,GC Bayya Reddy,PERSON,2763
20392,Hungund,GPE,2763
20393,Raj Harisingh,PERSON,4688
20394,Vasram Bavalia,PERSON,12381
20395,Cornell University,ORG,3644
20396,Attur,GPE,15549
20397,Tokyo,GPE,15549
20398,Kumarakom,GPE,11194
20399,Mandawali,GPE,3644
20400,Munjwadi,GPE,15549
20401,Vasantha Rao,PERSON,18149
20402,Kansingh Bhati Kotdi,PERSON,8841
20403,Shyam Gaonkar,PERSON,3160
20404,PAC,ORG,215
20405,Chaitanya,GPE,18149
20406,the Akali Dal’s,ORG,4688
20407,Tuts,PERSON,6266
20408,Shanta Kumar,POL,4688
20409,N Kirubakaran,PERSON,215
20410,Shahapur,GPE,15549
20411,Kotputali,GPE,8841
20412,Nangal Chaudhry,GPE,8841
20413,BKU Charuni’s,PERSON,4688
20414,Subhas,PERSON,6266
20415,Gaonkhet,GPE,3644
20416,Balana,GPE,1341
20417,Rajiv Satav,PERSON,4688
20418,A K Chauhan,PERSON,12381
20419,N S Parthasarathy,PERSON,215
20420,Nanded Phata,GPE,15549
20421,Ashram,GPE,4688
20422,Hajara,GPE,3644
20423,the National Policy on Education,ORG,10780
20424,the Indian Institute of Technology (,ORG,215
20425,Panchavati,GPE,2763
20426,Thookka Naicken Palayam,ORG,215
20427,Veg2home Alappy,ORG,11194
20428,RG Pudur,GPE,215
20429,Randhir Bamal,PERSON,19072
